customer_id,market,boutique_reference,acquisition_channel,first_purchase_date,tier,lifetime_transactions,lifetime_spend_eur,omnichannel,is_active_last_6m
CUST00126,Chine,Pékin,Boutique (walk-in),2025-01-06,Client fidèle,1,25022.28,False,False
CUST00127,Moyen-Orient,Abu Dhabi,Digital / en ligne,2025-10-25,Découverte,1,11386.94,False,False
CUST00128,France (siège),Cannes,Digital / en ligne,2025-01-10,Client fidèle,4,52280.56,False,False
CUST00129,France (siège),Paris Vendôme,Boutique (walk-in),2024-12-30,Découverte,3,11686.7,True,True
CUST00130,Chine,Pékin,Recommandation VIC,2025-05-18,Client fidèle,3,48924.31,True,True
CUST00131,USA,New York 5th Ave,Boutique (walk-in),2025-05-18,Découverte,1,16726.04,False,False
CUST00132,Japon,Tokyo Ginza,Boutique (walk-in),2025-01-12,Client fidèle,3,52471.35,True,False
CUST00133,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-02-01,Client fidèle,3,31414.94,False,True
CUST00134,USA,Beverly Hills,Événement privé,2025-12-24,Découverte,1,13784.41,False,True
CUST00135,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2025-11-20,Découverte,1,967.4,False,True
CUST00136,Chine,Hong Kong,Digital / en ligne,2025-11-01,VIC,1,81840.55,False,False
CUST00137,USA,Bal Harbour,Recommandation VIC,2026-02-03,Découverte,0,0.0,False,False
CUST00138,Chine,Pékin,Recommandation VIC,2025-06-08,Découverte,1,15269.92,False,False
CUST00139,Chine,Pékin,Digital / en ligne,2025-02-15,VIC,3,184594.34,True,False
CUST00140,USA,Bal Harbour,Digital / en ligne,2025-01-05,Découverte,1,466.51,False,False
CUST00141,France (siège),Paris Champs-Élysées,Recommandation VIC,2025-02-09,Découverte,3,3032.73,True,True
CUST00142,Moyen-Orient,Dubaï Mall,Événement privé,2024-12-11,Client fidèle,4,54268.25,True,True
CUST00143,USA,Bal Harbour,Événement privé,2025-07-21,Découverte,2,16418.04,True,True
CUST00144,Japon,Tokyo Ginza,Recommandation VIC,2025-12-29,Découverte,1,760.88,False,True
CUST00145,Chine,Shanghai,Boutique (walk-in),2024-10-28,Very VIP,4,347716.82,True,True
CUST00146,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2025-05-09,Client fidèle,2,27255.0,True,True
CUST00147,France (siège),Paris Vendôme,Recommandation VIC,2025-09-24,Client fidèle,2,32803.12,True,False
CUST00148,Japon,Tokyo Ginza,Recommandation VIC,2025-02-10,Découverte,1,773.06,False,False
CUST00149,France (siège),Paris Champs-Élysées,Boutique (walk-in),2026-04-11,Découverte,0,0.0,False,False
CUST00150,Chine,Hong Kong,Digital / en ligne,2025-07-31,Découverte,1,13692.23,False,False
CUST00151,France (siège),Paris Vendôme,Recommandation VIC,2025-05-19,VIC,2,66510.18,True,True
CUST00152,France (siège),Paris Vendôme,Événement privé,2026-03-15,Découverte,1,16316.65,False,False
CUST00153,Moyen-Orient,Abu Dhabi,Recommandation VIC,2024-10-26,Client fidèle,3,40789.05,False,True
CUST00154,Japon,Osaka,Digital / en ligne,2025-06-16,Client fidèle,2,23373.12,False,True
CUST00155,USA,New York 5th Ave,Événement privé,2026-02-02,Client fidèle,1,22678.43,False,True
CUST00156,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-11-12,Découverte,1,678.25,False,True
CUST00157,France (siège),Cannes,Boutique (walk-in),2025-10-01,Découverte,1,896.21,False,True
CUST00158,Japon,Tokyo Ginza,Boutique (walk-in),2026-02-06,Client fidèle,1,22778.67,False,True
CUST00159,France (siège),Paris Vendôme,Recommandation VIC,2024-09-25,VIC,4,184700.5,True,True
CUST00160,Japon,Tokyo Ginza,Digital / en ligne,2025-05-24,Découverte,2,17003.03,True,True
CUST00161,France (siège),Paris Champs-Élysées,Digital / en ligne,2025-09-22,Découverte,1,950.28,False,True
CUST00162,Japon,Osaka,Digital / en ligne,2025-07-14,Client fidèle,3,63651.76,True,True
CUST00163,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2025-07-29,Découverte,1,740.16,False,True
CUST00164,Chine,Shanghai,Événement privé,2024-09-10,Client fidèle,4,39857.5,True,True
CUST00165,Japon,Tokyo Ginza,Boutique (walk-in),2025-05-23,Client fidèle,2,57519.9,True,True
CUST00166,Chine,Pékin,Recommandation VIC,2024-11-25,Client fidèle,3,40724.82,True,True
CUST00167,France (siège),Cannes,Événement privé,2025-05-09,Découverte,2,14492.18,True,True
CUST00168,Chine,Shanghai,Recommandation VIC,2024-12-12,VIC,3,99315.24,True,True
CUST00169,Chine,Hong Kong,Digital / en ligne,2025-05-05,Client fidèle,3,31423.8,True,True
CUST00170,USA,Beverly Hills,Boutique (walk-in),2024-12-30,Découverte,3,2494.5,True,True
CUST00171,France (siège),Paris Champs-Élysées,Digital / en ligne,2024-11-02,Client fidèle,3,24281.18,True,True
CUST00172,Chine,Pékin,Digital / en ligne,2026-03-16,Découverte,0,0.0,False,False
CUST00173,USA,Bal Harbour,Boutique (walk-in),2025-05-15,Client fidèle,1,27348.99,False,False
CUST00174,Chine,Hong Kong,Recommandation VIC,2025-05-12,Découverte,1,16281.85,False,False
CUST00175,Japon,Tokyo Ginza,Recommandation VIC,2026-03-30,Découverte,0,0.0,False,False
CUST00176,USA,Bal Harbour,Recommandation VIC,2025-04-09,VIC,1,138971.95,False,False
CUST00177,USA,Bal Harbour,Recommandation VIC,2024-09-04,Découverte,1,9320.31,False,False
CUST00178,France (siège),Cannes,Digital / en ligne,2025-05-10,Découverte,2,16564.31,False,True
CUST00179,Chine,Hong Kong,Recommandation VIC,2025-10-28,Découverte,1,949.68,False,True
CUST00180,Chine,Pékin,Recommandation VIC,2025-06-21,Client fidèle,2,25105.73,True,True
CUST00181,France (siège),Paris Champs-Élysées,Boutique (walk-in),2026-01-05,Découverte,1,6495.18,False,True
CUST00182,France (siège),Paris Vendôme,Événement privé,2025-08-23,Client fidèle,2,47431.82,False,True
CUST00183,France (siège),Cannes,Digital / en ligne,2025-06-24,Découverte,1,7446.48,False,False
CUST00184,France (siège),Paris Champs-Élysées,Boutique (walk-in),2024-09-05,Client fidèle,3,43904.16,False,False
CUST00185,France (siège),Paris Vendôme,Boutique (walk-in),2025-11-07,Découverte,1,10793.12,False,True
CUST00186,France (siège),Paris Champs-Élysées,Recommandation VIC,2025-09-29,Découverte,2,12720.72,False,True
CUST00187,Moyen-Orient,Abu Dhabi,Recommandation VIC,2025-05-13,Découverte,2,11699.96,False,True
CUST00188,USA,Beverly Hills,Digital / en ligne,2024-11-04,Client fidèle,4,59063.4,True,True
CUST00189,USA,Beverly Hills,Recommandation VIC,2025-10-26,Découverte,1,902.64,False,True
CUST00190,Japon,Tokyo Ginza,Recommandation VIC,2024-09-13,Découverte,1,9071.32,False,False
CUST00191,USA,Bal Harbour,Recommandation VIC,2026-04-15,Découverte,0,0.0,False,False
CUST00192,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-10-13,VIC,1,111628.69,False,True
CUST00193,Chine,Shanghai,Boutique (walk-in),2026-04-21,Découverte,0,0.0,False,False
CUST00194,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-11-10,Découverte,1,14112.74,False,True
CUST00195,Japon,Osaka,Boutique (walk-in),2024-10-29,Client fidèle,4,48122.49,True,True
CUST00196,France (siège),Cannes,Recommandation VIC,2025-12-29,Découverte,1,7119.05,False,True
CUST00197,France (siège),Paris Vendôme,Recommandation VIC,2024-12-22,Client fidèle,4,54107.37,True,True
CUST00198,France (siège),Paris Vendôme,Recommandation VIC,2024-10-15,VIC,3,136540.15,True,True
CUST00199,Chine,Hong Kong,Recommandation VIC,2024-09-25,VIC,2,101896.91,True,False
CUST00200,Japon,Tokyo Ginza,Boutique (walk-in),2025-07-20,Découverte,2,12364.2,True,True
CUST00201,Japon,Osaka,Recommandation VIC,2025-05-22,Client fidèle,2,18719.35,False,True
CUST00202,France (siège),Cannes,Digital / en ligne,2024-11-28,Découverte,2,8835.78,False,False
CUST00203,France (siège),Cannes,Recommandation VIC,2025-09-24,Client fidèle,1,25415.89,False,False
CUST00204,Japon,Tokyo Ginza,Recommandation VIC,2025-01-16,Client fidèle,3,29908.01,True,True
CUST00205,Japon,Osaka,Boutique (walk-in),2025-10-14,Découverte,1,13722.57,False,True
CUST00206,Moyen-Orient,Abu Dhabi,Événement privé,2025-01-20,Client fidèle,3,19812.59,False,True
CUST00207,USA,Bal Harbour,Recommandation VIC,2025-12-17,Client fidèle,1,27304.22,False,True
CUST00208,USA,Bal Harbour,Digital / en ligne,2025-02-27,Découverte,2,15431.11,False,True
CUST00209,USA,Bal Harbour,Boutique (walk-in),2024-09-30,VIC,5,66933.58,True,True
CUST00210,Chine,Hong Kong,Recommandation VIC,2025-05-14,Découverte,3,2261.7,True,True
CUST00211,France (siège),Paris Champs-Élysées,Recommandation VIC,2025-07-27,Découverte,1,548.69,False,False
CUST00212,USA,New York 5th Ave,Boutique (walk-in),2025-07-18,VIC,2,123466.5,True,True
CUST00213,Moyen-Orient,Dubaï Mall,Événement privé,2024-11-06,Client fidèle,4,47806.33,True,True
CUST00214,USA,Beverly Hills,Recommandation VIC,2025-01-21,VIC,3,91174.15,True,True
CUST00215,USA,New York 5th Ave,Recommandation VIC,2025-08-30,VIC,1,89262.96,False,True
CUST00216,Chine,Shanghai,Boutique (walk-in),2025-07-28,VIC,2,128244.09,True,True
CUST00217,Japon,Osaka,Recommandation VIC,2025-10-11,Découverte,1,10295.05,False,True
CUST00218,France (siège),Cannes,Digital / en ligne,2025-02-13,Découverte,3,2705.77,False,False
CUST00219,USA,Beverly Hills,Recommandation VIC,2024-12-17,Client fidèle,3,43126.23,True,True
CUST00220,France (siège),Paris Vendôme,Recommandation VIC,2026-02-10,Découverte,1,1347.29,False,True
CUST00221,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-10-18,Découverte,1,9747.6,False,True
CUST00222,USA,Beverly Hills,Digital / en ligne,2025-01-25,Client fidèle,3,44247.05,False,True
CUST00223,Chine,Shanghai,Recommandation VIC,2025-03-24,VIC,4,146993.17,True,True
CUST00224,Moyen-Orient,Dubaï Mall,Recommandation VIC,2025-07-30,Découverte,2,10059.55,False,True
CUST00225,USA,New York 5th Ave,Boutique (walk-in),2025-09-06,Client fidèle,2,23071.16,False,True
CUST00226,France (siège),Cannes,Événement privé,2025-02-08,Client fidèle,3,23679.68,True,True
CUST00227,Moyen-Orient,Dubaï Mall,Événement privé,2026-01-17,VIC,1,75385.03,False,True
CUST00228,France (siège),Paris Champs-Élysées,Événement privé,2025-12-05,Découverte,1,973.28,False,True
CUST00229,Moyen-Orient,Abu Dhabi,Recommandation VIC,2025-01-14,VIC,3,109363.02,False,True
CUST00230,Japon,Osaka,Recommandation VIC,2025-04-04,Découverte,3,16629.31,True,True
CUST00231,France (siège),Paris Champs-Élysées,Digital / en ligne,2025-09-03,Client fidèle,1,22713.18,False,False
CUST00232,Japon,Osaka,Boutique (walk-in),2025-09-22,VIC,2,81251.8,False,True
CUST00233,Moyen-Orient,Abu Dhabi,Boutique (walk-in),2024-10-01,Découverte,3,8335.89,True,True
CUST00234,France (siège),Paris Champs-Élysées,Recommandation VIC,2024-09-03,VIC,1,90958.86,False,False
CUST00235,Chine,Pékin,Boutique (walk-in),2024-12-09,Client fidèle,4,53259.57,False,False
CUST00236,USA,New York 5th Ave,Digital / en ligne,2024-09-12,VIC,4,93832.37,True,True
CUST00237,Japon,Osaka,Événement privé,2025-09-30,Découverte,1,767.9,False,True
CUST00238,France (siège),Paris Vendôme,Recommandation VIC,2025-12-15,Client fidèle,1,19308.98,False,True
CUST00239,Japon,Tokyo Ginza,Digital / en ligne,2025-07-15,Client fidèle,2,29945.19,False,True
CUST00240,Japon,Tokyo Ginza,Événement privé,2025-12-06,Découverte,1,574.45,False,True
CUST00241,France (siège),Paris Champs-Élysées,Recommandation VIC,2026-02-04,Client fidèle,1,33563.43,False,True
CUST00242,USA,Bal Harbour,Recommandation VIC,2025-02-20,Découverte,3,16440.12,True,True
CUST00243,USA,New York 5th Ave,Recommandation VIC,2026-03-13,Découverte,1,1054.99,False,True
CUST00244,Japon,Tokyo Ginza,Digital / en ligne,2025-07-01,Découverte,2,10550.38,False,True
CUST00245,Moyen-Orient,Abu Dhabi,Digital / en ligne,2025-09-23,Découverte,1,611.75,False,True
CUST00246,Chine,Shanghai,Événement privé,2025-11-18,Découverte,1,731.62,False,False
CUST00247,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-09-20,Découverte,1,11393.96,False,True
CUST00248,Chine,Shanghai,Boutique (walk-in),2024-11-16,Client fidèle,3,18402.6,True,False
CUST00249,USA,Bal Harbour,Boutique (walk-in),2025-06-13,Découverte,2,11843.94,False,True
CUST00250,France (siège),Cannes,Événement privé,2026-02-13,VIC,1,76068.67,False,True
CUST00251,USA,New York 5th Ave,Recommandation VIC,2026-04-06,Découverte,0,0.0,False,False
CUST00252,France (siège),Paris Vendôme,Événement privé,2025-10-03,Découverte,1,11925.11,False,True
CUST00253,France (siège),Paris Vendôme,Boutique (walk-in),2025-10-17,Découverte,1,705.36,False,True
CUST00254,Moyen-Orient,Dubaï Mall,Boutique (walk-in),2025-08-08,Découverte,1,16799.74,False,False
CUST00255,Japon,Osaka,Recommandation VIC,2025-05-05,Découverte,2,17778.0,True,True
CUST00256,USA,Beverly Hills,Boutique (walk-in),2025-07-25,Découverte,1,7288.64,False,False
CUST00257,France (siège),Paris Champs-Élysées,Boutique (walk-in),2025-10-07,Client fidèle,1,32588.26,False,True
CUST00258,USA,New York 5th Ave,Recommandation VIC,2024-12-23,VIC,3,149018.51,True,True
CUST00259,France (siège),Cannes,Recommandation VIC,2025-08-17,Découverte,1,17968.14,False,True
CUST00260,Moyen-Orient,Dubaï Mall,Événement privé,2025-08-21,Découverte,2,2338.01,False,True
CUST00261,France (siège),Cannes,Digital / en ligne,2025-03-18,Client fidèle,3,22990.63,True,True
CUST00262,France (siège),Cannes,Digital / en ligne,2025-04-18,Découverte,2,17335.5,False,True
CUST00263,Japon,Tokyo Ginza,Boutique (walk-in),2025-01-13,Découverte,4,3826.14,True,True
CUST00264,Chine,Pékin,Recommandation VIC,2025-11-04,Découverte,1,1202.56,False,True
CUST00265,Japon,Osaka,Digital / en ligne,2025-04-23,Découverte,3,15815.52,True,True
CUST00266,France (siège),Paris Vendôme,Digital / en ligne,2025-09-23,Découverte,1,6604.9,False,True
CUST00267,France (siège),Paris Champs-Élysées,Digital / en ligne,2026-04-13,Découverte,0,0.0,False,False
CUST00268,France (siège),Paris Vendôme,Boutique (walk-in),2025-06-15,VIC,2,105547.52,True,False
CUST00269,Chine,Pékin,Boutique (walk-in),2025-12-05,Découverte,1,544.47,False,True
CUST00270,France (siège),Paris Vendôme,Boutique (walk-in),2025-11-23,Découverte,1,14020.32,False,False
CUST00271,USA,Beverly Hills,Recommandation VIC,2025-09-17,Client fidèle,1,63731.3,False,False
